pensa,thinks,
dicendo,saying,
acqua,water,
portato,carried,
stanza,stanza,
problemi,problems,
forte,strong,
nessuna,none,
lascia,leaves,
amo,amo,
roba,rubber,
agente,agent,
dietro,behind,
corpo,body,
pare,look,
sentire,feel,
foto,photo,
telefono,telephone,
voleva,he wanted,
poco,bit,
prendi,you take,
piccola,small,
vicino,neighbor,
quest',quest',
sacco,sack,
stia,stay,
capire,understand,
potuto,could,
cinque,five,
strano,strange,
tue,tue,
andando,going,
donne,women,
sappiamo,we know,
bravo,bravo,
ragazze,girls,
festa,party,
senso,sense,
genere,type ,
quattro,four,
dare,dare,
attimo,moment,
sorella,sister,
pure,pure,
probabilmente,probably,
film,film,
parla,speaks,
ufficio,office,
verso,towards,
mesi,months,
farti,make you,
unica,unique,
morire,die,
signorina,miss,
vecchio,old,
domanda,request,
ben,ben,
guerra,war,
dottore,doctor,
conosco,with us,
qual,which,
vivere,live,
vista,vista,
prova,trial,
nuova,new,
ricordo,i remember,
divertente,fun,
avessi,i had,
sicura,safe,
paio,couple,
conto,i count,
perdere,lose,
dimmi,tell me,
farmi,make me,
figli,children,
mezzo,half,
lavorare,work,
unico,unique,
esattamente,exactly,
squadra,squad,
esatto,exactly,
possono,they can,
fate,fate,
faro,faro,
sapete,you know,
dottor,dr,
parola,word,
piedi,feet,
sopra,above,
motivo,reason,
avevi,you had,
cavolo,cabbage,
capitano,captain,
finita,finished,
volete,you want,
siano,they are,
potresti,you could,
gioco,game,
perfetto,perfect,
be,be,
mente,mind,
mangiare,eat,
resto,rest,
credere,believe,
fortuna,fortune,
tratta,deals with,
chiamo,i'll call,
morta,dead,
là,to be,
entrambi,both,
avresti,you would have,
passare,pass,
cena,cena,
the,the,
sarei,i would be,
controllo,check,
affari,business,
spiace,sorry,
ultimo,last,
facile,easy,
farò,lighthouse,
buongiorno,good morning,
davanti,in front of,
tizio,dude,
dammi,give me,
sicurezza,safety,
dalle,come on,
quanti,how many,
dica,tip,
matrimonio,marriage,
john,john,
vogliono,they want,
molti,many,
culo,ass,
fuoco,fire,
cercare,look for,
pistola,pistol,
potremmo,we could,
re,re,
mandato,mandate,
puttana,whore,
negli,in the,
cioe,meaning what,
inizio,start,
saranno,they will be,
causa,cause,
voglia,wants,
mettere,put,
fammi,do for me,
uccidere,kill,
vogliamo,we want,
faremo,we'll do it,
però,but,
genitori,parents,
sesso,sex,
potete,you can,
ricevuto,received,
vivo,vivo,
presidente,president,
città,city,
citta,citta,
succedendo,happening,
ospedale,hospital,
fu,it was,
agli,to,
scritto,written,
smettila,stop it,
vada,conducts,
attenzione,attention,
sulle,on,
bere,his,
situazione,situation,
omicidio,homocide,
revisione,revision,
avesse,had,
ottimo,optimal,
cura,treatment,
durante,during,
provato,tried,
parole,parole,
lasciare,leave,
dicono,they say,
new,new,
prossima,next,
nostre,our,
arrivato,arrived,
paese,village,
sull',on the,
andate,go,
chiunque,whoever,
capisci,you understand,
pace,pace,
immagino,i imagine,
musica,music,
tieni,second,
oddio,hate,
jack,jack,
libro,book,
eravamo,we were,
amica,friend,
diventare,become,
sui,on,
sbagliato,wrong,
dirmi,tell me,
wow,wow,
farai,you will do,
entra,enter,
venuta,coming,
scelta,choice,
voluto,wanted,
portare,bring,
assolutamente,absolutely,
molte,many,
chiedo,i ask,
torna,returns,
scoperto,discovery,
fatti,facts,
settimane,weeks,
dirlo,say it,
alcuni,some,
prigione,prison,
giornata,day,
piuttosto,rather,
buono,good,
aspettare,wait,
parli,speak,
arrivare,arrive,
lungo,long,
vede,to see,
avvocato,lawyer,
deciso,decided,
sarai,sarai,
messaggio,message,
dormire,sleep,
dieci,ten,
stupido,stupid,
usare,use,
dello,of,
cielo,sky,
guardare,watch,
bagno,bath,
aria,air,
voce,voice,
tornato,returned,
vuol,wants,
giù,below,
conosci,you know,
benissimo,very well,
prendo,i take,
verita,TRUE,
cane,cane,
restare,remain,
chiamare,call,
poter,be able to,
campo,field,
luce,light,
sam,alone,
qualunque,anyone,
giovane,young,
signori,gentlemen,
fra,from,
provare,try,
minuto,minutes,
saperlo,know it,
lontano,distant,
gruppo,group,
continua,continues,
arrivo,i arrive,
gran,great,
realta,reality,
cerca,fence,
passo,step,
domande,requests,
insomma,in short,
bambina,girl,
pensando,thinking,
capelli,hair,
trova,finds,
onore,honor,
aiutare,help,
verità,truth,
prove,prove,
n',n',
funziona,works,
alto,high,
giu,below,
credevo,i believed,
futuro,future,
preoccuparti,worry,
idiota,idiot,
cibo,food,
fretta,rush,
cara,method,
finalmente,finally,
morti,dead,
odio,hatred,
solito,usual,
brava,brava,
é,and,
incidente,accident,
allo,at the,
dev',dev',
intenzione,intention,
speciale,special,
cambiare,change,
vera,being,
camera,camera,
oltre,beyond,
semplice,simple,
dirti,tell you,
riguardo,regard,
finche,until,
aspetto,i wait,
viaggio,voyage,
chiaro,clear,
chiamata,call,
bocca,mouth,
permesso,permit,
piacerebbe,i would like it,
dovete,you have to,
giocare,play,
ordine,order,
circa,about,
ovviamente,obviously,
finire,finish,
piu',more',
natale,christmas,
i',i',
direi,i would say,
vostri,yours,
occhio,eye,
pronta,ready,
scusami,excuse me,
mattina,morning,
cercato,searched,
crede,credit,
sistema,system,
york,york,
fondo,bottom,
resta,subtraction,
devono,they must,
prossimo,next,
pronti,ready,
saputo,known,
scusate,excuse me,
potere,candies,
milioni,millions,
soltanto,only,
armi,weapons,
arriva,he arrives,
fermo,stopped,
mese,month,
chiedere,ask,
cristo,christ,
torno,lathe,
venite,come,
controllare,check,
appuntamento,appointment,
s,s,
chiami,call,
vecchia,old,
detective,detective,
pero,but,
metti,you put,
grado,degree,
vanno,they go,
nave,nave,
iniziato,started,
perche',why',
informazioni,information,
libero,free,
stronzo,asshole,
grandi,large,
pezzo,piece,
segreto,secret,
colpo,hit,
faceva,he did,
piacciono,they like them,
porto,harbor,
oppure,or,
completamente,completely,
vederti,see you,
lista,list,
venga,come,
veloce,fast,
assassino,murderer,
sapeva,he knew,
finché,until,
tom,tom,
ormai,at this point,
interessa,interests,
generale,general,
giusta,right,
tenere,hold,
pazzo,crazy,
vittima,victim,
giuro,i swear,
consiglio,advise,
michael,michael,
alcune,someone,
semplicemente,simply,
zio,uncle,
centro,center,
specie,species,
mille,which,
sogno,dream,
lasci,leave,
carino,cute,
doveva,where you go,
brutto,bad,
nello,in,
aspetti,wait,
incredibile,incredible,
sole,sole,
glielo,him,
legge,law,
spesso,often,
guardate,look,
cambiato,changed,
scena,scene,
volevi,you wanted,
charlie,charlie,
lasciami,leave me,
gentile,gentile,
rispetto,respect,
ve,ve,
fara,go,
zitto,heavy,
incontro,encounter,
farà,fara,
servono,they are needed,
rapporto,relationship,
errore,mistake,
mike,mike,
sanno,they know,
pagare,pay,
sorpresa,surprise,
occhiata,look,
risposta,answer,
presa,taken,
servizio,service,
medico,doctor,
usato,used,
hey,hey,
caro,caro,
schifo,disgust,
avrai,you will have,
dolore,pain,
saresti,you would be,
personale,personal,
quali,which,
saro,difficult,
peggio,worse,
addio,goodbye,
addosso,on,
dovevo,i had to,
poteva,he could,
pieno,full,
diverso,different,
vestiti,clothes,
sparato,shot,
realtà,reality,
do,do,
sarò,i will be,
normale,normal,
fame,fame,
programma,plan,
nonna,grandmother,
sappia,know,
sembrava,it seemed,
migliori,better,
notizie,news,
avevamo,we had,
riesci,you can,
posizione,position,
vengo,come,
rimanere,stay,
compagnia,company,
proposito,purpose,
farci,do it,
joe,joe,
ricorda,remember,
frank,frank,
prende,takes,
tante,many,
avevano,they had,
arrivando,arriving,
chiuso,closed,
terribile,terrible,
ritardo,delay,
attento,careful,
bar,bar,
sembri,you seem,
fallo,failed,
dimenticato,forgotten,
bisogna,must,
impossibile,impossible,
cioè,meaning what,
studio,studio,
stessi,themselves,
arma,arm,
conosce,knows,
uscita,exit,
ii,ii,
fin,end,
disse,these,
david,david,
vattene,go away,
quante,how many,
guai,trouble,
intorno,environment,
video,video,
manca,lacks,
esserci,be there,
grosso,thick,
tanti,many,
dolce,sweet,
chiave,key,
cervello,brain,
coraggio,courage,
interessante,interesting,
